mpb_band,lambda_um-2,nu_a2.288,pr_fraction,pr_volume_um3,xi_um,r2,resolved,shell2_energy_frac
506,2.046053410,0.520876,1.802619e-01,269.8870,6.1877,0.9557,False,0.07399
507,2.056243896,0.522172,9.630935e-02,144.1938,3.0837,0.9753,True,0.05302
508,2.060417652,0.522702,2.037612e-01,305.0701,5.3605,0.8534,False,0.07503
509,2.064300060,0.523194,1.700366e-01,254.5778,6.2731,0.8958,False,0.07207
510,2.068006992,0.523663,2.195288e-01,328.6772,6.8525,0.8165,False,0.07574
511,2.078689337,0.525014,1.814840e-01,271.7167,5.9597,0.9752,False,0.10352
512,2.085720062,0.525901,1.770018e-01,265.0061,4.7181,0.7991,False,0.06733
513,2.091430664,0.526621,2.311489e-01,346.0747,4.4545,0.9198,False,0.08907
514,2.094634056,0.527024,2.041545e-01,305.6588,6.4101,0.8746,False,0.05978
515,2.100456715,0.527756,2.351741e-01,352.1013,5.6171,0.9044,False,0.08335
516,2.107060671,0.528585,2.390806e-01,357.9501,11.8935,0.8405,False,0.09146
517,2.107311726,0.528616,2.219777e-01,332.3437,5.9980,0.8690,False,0.06599
518,2.112052441,0.529211,1.978546e-01,296.2268,5.5881,0.7923,False,0.08445
519,2.120488644,0.530266,2.350734e-01,351.9505,5.5633,0.8812,False,0.08241
520,2.128195763,0.531229,2.207884e-01,330.5631,9.7049,0.7753,False,0.09978
521,2.132726669,0.531794,2.302508e-01,344.7302,9.6432,0.7608,False,0.05720
522,2.134840012,0.532058,2.402969e-01,359.7710,9.4686,0.7331,False,0.09438
523,2.139190197,0.532600,2.097569e-01,314.0468,6.8526,0.7457,False,0.10094
524,2.144174337,0.533220,2.274995e-01,340.6109,7.3508,0.8609,False,0.06514
525,2.145825386,0.533425,2.214060e-01,331.4878,5.8695,0.7961,False,0.08481
526,2.151155233,0.534087,2.687299e-01,402.3408,7.3055,0.8454,False,0.08433
527,2.155500412,0.534626,2.607157e-01,390.3419,9.5672,0.8008,False,0.08289
528,2.163714886,0.535644,2.251332e-01,337.0681,5.3565,0.9269,False,0.07683
529,2.170702934,0.536508,2.261459e-01,338.5843,6.4746,0.9318,False,0.08789
